ObjID,H_r,GS,u-r,g-r,i-r,z-r,y-r
STC0025wa,8.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025xa,7.76,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025ya,6.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025za,8.33,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Aa,7.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ba,8.13,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ca,8.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Da,8.09,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ea,7.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Fa,6.84,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ga,8.28,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ha,7.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ia,8.56,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ja,6.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ka,5.89,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025La,8.45,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ma,7.82,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Na,8.42,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Oa,5.75,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Pa,8.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Qa,7.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ra,8.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Sa,8.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ta,8.14,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ua,8.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Va,7.78,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Wa,8.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Xa,8.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Ya,8.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0025Za,7.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00260a,7.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00261a,8.59,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00262a,8.3,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00263a,5.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00264a,8.28,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00265a,8.26,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00266a,8.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00267a,6.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00268a,6.61,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00269a,7.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026aa,7.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ba,8.54,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ca,7.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026da,7.21,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ea,7.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026fa,6.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ga,8.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ha,7.03,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ia,7.77,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ja,8.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ka,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026la,7.5,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ma,6.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026na,8.31,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026oa,7.8,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026pa,7.45,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026qa,6.89,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ra,8.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026sa,8.9,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ta,7.27,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ua,7.63,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026va,7.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026wa,6.82,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026xa,8.11,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026ya,8.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026za,6.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Aa,2.83,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ba,8.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ca,8.57,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Da,7.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ea,8.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Fa,6.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ga,8.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ha,7.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ia,7.08,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ja,7.02,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ka,7.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026La,7.78,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ma,8.5,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Na,7.35,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Oa,7.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Pa,6.37,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Qa,6.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ra,7.68,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Sa,7.64,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ta,7.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ua,8.45,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Va,7.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Wa,8.06,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Xa,6.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Ya,7.97,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0026Za,6.7,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00270a,7.53,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00271a,6.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00272a,8.59,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00273a,8.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00274a,8.52,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00275a,6.55,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00276a,7.37,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00277a,8.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00278a,7.95,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00279a,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027aa,7.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ba,7.94,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ca,7.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027da,8.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ea,9.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027fa,5.64,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ga,7.39,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ha,8.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ia,7.95,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ja,7.75,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ka,7.08,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027la,8.3,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ma,6.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027na,7.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027oa,8.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027pa,7.52,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027qa,8.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ra,8.56,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027sa,7.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ta,8.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ua,7.55,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027va,8.62,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027wa,5.55,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027xa,7.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027ya,9.03,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027za,8.33,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Aa,4.35,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ba,8.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ca,7.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Da,6.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ea,6.76,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Fa,8.59,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ga,8.13,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ha,7.79,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ia,6.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ja,6.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ka,7.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027La,8.0,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ma,8.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Na,7.93,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Oa,8.19,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Pa,7.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Qa,6.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ra,7.47,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Sa,7.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ta,6.79,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ua,8.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Va,7.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Wa,7.94,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Xa,6.0,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Ya,7.67,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0027Za,6.94,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00280a,7.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00281a,6.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00282a,6.13,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00283a,8.53,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00284a,6.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00285a,8.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00286a,8.56,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00288a,8.95,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00289a,7.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028aa,6.72,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ba,8.53,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ca,8.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028da,9.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ea,8.54,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028fa,8.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ga,3.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ha,6.25,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ia,6.91,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ja,7.76,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ka,8.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028la,9.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ma,8.25,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028na,6.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028oa,8.2,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028pa,7.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028qa,8.01,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ra,7.35,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028sa,8.64,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ta,8.13,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ua,7.81,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028va,8.78,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028wa,6.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028xa,6.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028ya,7.81,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028za,8.2,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Aa,6.59,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ba,8.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ca,6.89,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Da,8.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ea,7.03,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Fa,8.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ga,8.58,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ha,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ia,7.57,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ja,7.98,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ka,8.64,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028La,8.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ma,9.11,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Na,5.33,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Oa,6.64,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Pa,6.39,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Qa,6.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ra,8.37,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Sa,7.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ta,6.82,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ua,6.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Va,8.2,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Wa,8.45,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Xa,8.27,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Ya,4.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0028Za,6.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00290a,7.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00291a,7.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00292a,8.41,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00293a,7.91,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00294a,7.18,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00295a,8.42,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00296a,7.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00297a,8.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00298a,8.76,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC00299a,8.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029aa,7.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ba,7.52,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ca,6.54,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029da,8.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ea,8.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029fa,8.57,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ga,6.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ha,6.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ia,9.06,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ja,7.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ka,7.59,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029la,7.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ma,8.02,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029na,7.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029oa,7.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029pa,8.54,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029qa,8.82,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ra,5.54,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029sa,3.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ta,8.79,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ua,5.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029va,5.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029wa,7.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029xa,7.91,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029ya,6.01,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029za,8.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Aa,8.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Ba,7.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Ca,8.55,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Da,6.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Ea,8.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Fa,8.39,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Ga,8.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Ha,8.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Ia,8.83,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Ja,6.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Ka,7.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029La,6.72,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Ma,6.45,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Na,8.08,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Oa,8.06,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Pa,7.35,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Qa,7.8,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC0029Ra,7.83,0.15,1.786,0.474,-0.119,-0.126,-0.131
